collection,doc_category,original_filename,pages_in_subset,num_pages_full,coverage_pct
ann_reports_00_04_fancy,financial_reports,NYSE_AZ_2003.pdf,195,198,98.48484848484848
ann_reports_00_04_fancy,financial_reports,NYSE_AEG_2003.pdf,154,156,98.71794871794873
ann_reports_00_04_fancy,financial_reports,TSX_BBD_2004.pdf,142,142,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_BCE_2004.pdf,128,128,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_RELX_2003.pdf,117,118,99.15254237288136
ann_reports_00_04_fancy,financial_reports,NYSE_IP_2004.pdf,103,106,97.16981132075472
ann_reports_00_04_fancy,financial_reports,NYSE_ARE_2004.pdf,103,107,96.26168224299066
ann_reports_00_04_fancy,financial_reports,TSX_BMO_2002.pdf,102,102,100.0
ann_reports_00_04_fancy,financial_reports,ASX_HVN_2003.pdf,101,102,99.01960784313727
ann_reports_00_04_fancy,financial_reports,OTC_CABJF_2001.pdf,100,102,98.0392156862745
ann_reports_00_04_fancy,financial_reports,NYSE_F_2004.pdf,98,100,98.0
ann_reports_00_04_fancy,financial_reports,NYSE_CPT_2004.pdf,97,98,98.9795918367347
ann_reports_00_04_fancy,financial_reports,NYSE_ED_2003.pdf,97,100,97.0
ann_reports_00_04_fancy,financial_reports,NYSE_VNO_2003.pdf,97,119,81.5126050420168
ann_reports_00_04_fancy,financial_reports,NYSE_BG_2004.pdf,94,94,100.0
ann_reports_00_04_fancy,financial_reports,NASDAQ_EXPD_2002.pdf,93,93,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_SPG_2003.pdf,89,89,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_FC_2000.pdf,88,88,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_KEY_2003.pdf,88,88,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_AXP_2002.pdf,88,92,95.65217391304348
ann_reports_00_04_fancy,financial_reports,NYSE_EL_2003.pdf,87,87,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_STZ_2004.pdf,85,85,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_RGA_2003.pdf,85,92,92.3913043478261
ann_reports_00_04_fancy,financial_reports,NYSE_EW_2002.pdf,83,83,100.0
ann_reports_00_04_fancy,financial_reports,NYSE_FCX_2004.pdf,83,84,98.80952380952381
ann_reports_00_04_fancy,financial_reports,NYSE_TCB_2002.pdf,83,84,98.80952380952381
ann_reports_00_04_fancy,financial_reports,NYSE_ORH_2004.pdf,83,100,83.0
ann_reports_00_04_fancy,financial_reports,NYSE_COF_2002.pdf,81,81,100.0
ann_reports_00_04_fancy,financial_reports,ASX_RSG_2004.pdf,80,80,100.0
