image_width,image_height,n_bboxes,n_segmentations,n_pdf_cells,bbox_area_frac_mean,bbox_area_frac_median,bbox_aspect_ratio_mean,bbox_aspect_ratio_median,bbox_width_mean,bbox_height_mean,cell_chars_mean,cell_words_mean,category_ids
1025,1025,15,15,82,0.03243618488800067,0.031832655815290614,18.11643062462777,17.311369379487772,681.5548052230877,45.31831142022125,43.46341463414634,6.951219512195122,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 8, 9, 9]"
1025,1025,9,9,78,0.06337417938383107,0.06547162705473183,3.1117204521915207,1.57015608857119,321.14081862754415,146.04546912925977,24.333333333333332,3.91025641025641,"[10, 10, 10, 7, 8, 10, 10, 5, 7]"
1025,1025,17,17,125,0.02664214719747951,0.013706099288078201,8.098697884159243,3.364856456240698,294.5336273656287,81.89372061065835,39.192,6.32,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 8, 8, 8, 5, 8]"
1025,1025,9,9,112,0.0610255929206757,0.037039721458785146,7.910645106461818,5.752129399536555,385.6158139119549,133.19155843124813,25.473214285714285,4.0625,"[10, 10, 10, 10, 10, 10, 5, 8, 7]"
1025,1025,4,4,341,0.14892679971314163,0.004214205942589805,33.4304896006091,37.442132145908765,505.6832073477332,187.8225681393073,7.829912023460411,1.6158357771260996,"[6, 8, 9, 10]"
1025,1025,12,12,88,0.02628094555702729,0.00845683839020983,24.323868739622068,23.610557009956622,589.3729931513388,36.6819689723531,11.477272727272727,2.227272727272727,"[6, 10, 5, 9, 8, 9, 9, 9, 8, 8, 8, 10]"
1025,1025,8,8,181,0.07106702080653654,0.019404286182747907,20.83509814191352,15.637987670344703,590.4583934365802,90.74640027187668,13.209944751381215,2.4198895027624308,"[6, 8, 8, 5, 10, 10, 9, 9]"
1025,1025,29,29,120,0.013587033280709858,0.00801536709451022,10.194081617475511,7.07865722498657,264.7411920582601,43.849807973049465,37.15833333333333,6.108333333333333,"[8, 4, 4, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
1025,1025,33,33,79,0.0059404672224380225,0.005575726622704476,9.54830240746157,8.999001478629445,226.6037695939494,26.716655901931183,31.17721518987342,4.468354430379747,"[8, 8, 8, 10, 10, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1025,1025,16,16,91,0.03145884116516694,0.021966727363166284,11.785726639599378,5.376129628281435,322.92746289573125,86.85017438249685,51.472527472527474,7.989010989010989,"[6, 8, 8, 8, 8, 8, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
1025,1025,11,11,29,0.030391478477572578,0.024955485102569872,14.431825581307386,11.842797933415047,583.3505269441611,56.302919932593106,64.3103448275862,10.689655172413794,"[10, 10, 10, 8, 10, 10, 10, 10, 10, 7, 5]"
1025,1025,12,12,55,0.05076605104306873,0.028865385758868038,17.852333965950745,14.388723685771465,644.5599844907407,62.22975275720166,108.85454545454546,16.836363636363636,"[10, 10, 10, 10, 10, 10, 10, 8, 8, 8, 8, 5]"
1025,1025,5,5,521,0.1485054481728763,0.0033723243147366546,19.72677887923215,18.581957094901885,439.7968784173014,178.59361378252657,7.6487523992322455,1.690978886756238,"[8, 10, 9, 10, 5]"
1025,1025,22,22,149,0.026111211626894712,0.014057612328695047,6.599387377854197,4.947249582037646,223.84536272861385,98.06322303456786,37.288590604026844,5.778523489932886,"[6, 8, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 9, 8, 8, 8, 8, 8, 8]"
1025,1025,10,10,180,0.05068568523431196,0.04303747631733686,7.685781068786945,3.1653778119697504,340.0925752588947,132.05684800479713,21.305555555555557,3.5833333333333335,"[6, 10, 10, 10, 10, 10, 10, 10, 5, 9]"
1025,1025,5,5,10,0.06884939688931882,0.08830364348747002,5.458963362109368,6.346927422842624,387.6526688316294,140.9856518876008,8.5,1.9,"[10, 1, 1, 7, 7]"
1025,1025,7,7,142,0.0533357488207033,0.0030014717739800106,21.850279295297348,24.411515887972804,397.3889008906964,72.67494099720435,17.746478873239436,4.809859154929577,"[10, 9, 2, 2, 2, 2, 5]"
1025,1025,8,8,48,0.016846054471166536,0.003507490312285767,18.922524879405284,16.18147033972103,369.9013276308743,34.14219413195482,17.208333333333332,2.6875,"[10, 10, 10, 10, 9, 10, 9, 5]"
1025,1025,11,11,44,0.005755994770859424,0.004541505952645988,3.573321106938869,3.6552542912459436,135.09983298786307,42.298702342781006,19.636363636363637,3.272727272727273,"[10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10]"
1025,1025,7,7,423,0.0870429525865086,0.09079110800635616,18.8571317112189,2.101419878296146,456.3215447981524,193.0912612438709,4.650118203309693,1.198581560283688,"[5, 1, 1, 9, 9, 9, 9]"
1025,1025,14,14,51,0.023263443368274878,0.02418218364818937,17.517355004043274,16.981700014168926,584.7303896737861,35.99886239402959,47.254901960784316,7.254901960784314,"[8, 8, 10, 4, 4, 4, 4, 4, 4, 8, 10, 10, 10, 5]"
1025,1025,15,15,107,0.02916661142432122,0.023288726551053317,6.5759006287497135,4.307066526486108,259.942457543573,100.36598464120372,44.11214953271028,6.859813084112149,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 5, 8, 8]"
1025,1025,0,0,0,,,,,,,,,[]
